#
# flashprog.csv -- Flash ROM programmer pin constraints for DE2-115 board
#

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
fl_wp_n,Output,PIN_AE12,3,B3_N1,3.3-V LVTTL,
fl_rst_n,Output,PIN_AE11,3,B3_N1,3.3-V LVTTL,
fl_ry,Input,PIN_Y1,2,B2_N0,3.3-V LVTTL,

#
# indicators
#
led_g[8],Output,PIN_F17,7,B7_N2,2.5 V,
led_g[7],Output,PIN_G21,7,B7_N1,2.5 V,
led_g[6],Output,PIN_G22,7,B7_N2,2.5 V,
led_g[5],Output,PIN_G20,7,B7_N1,2.5 V,
led_g[4],Output,PIN_H21,7,B7_N2,2.5 V,
led_g[3],Output,PIN_E24,7,B7_N1,2.5 V,
led_g[2],Output,PIN_E25,7,B7_N1,2.5 V,
led_g[1],Output,PIN_E22,7,B7_N0,2.5 V,
led_g[0],Output,PIN_E21,7,B7_N0,2.5 V,
led_r[17],Output,PIN_H15,7,B7_N2,2.5 V,
led_r[16],Output,PIN_G16,7,B7_N2,2.5 V,
led_r[15],Output,PIN_G15,7,B7_N2,2.5 V,
led_r[14],Output,PIN_F15,7,B7_N2,2.5 V,
led_r[13],Output,PIN_H17,7,B7_N2,2.5 V,
led_r[12],Output,PIN_J16,7,B7_N2,2.5 V,
led_r[11],Output,PIN_H16,7,B7_N2,2.5 V,
led_r[10],Output,PIN_J15,7,B7_N2,2.5 V,
led_r[9],Output,PIN_G17,7,B7_N1,2.5 V,
led_r[8],Output,PIN_J17,7,B7_N2,2.5 V,
led_r[7],Output,PIN_H19,7,B7_N2,2.5 V,
led_r[6],Output,PIN_J19,7,B7_N2,2.5 V,
led_r[5],Output,PIN_E18,7,B7_N1,2.5 V,
led_r[4],Output,PIN_F18,7,B7_N1,2.5 V,
led_r[3],Output,PIN_F21,7,B7_N0,2.5 V,
led_r[2],Output,PIN_E19,7,B7_N0,2.5 V,
led_r[1],Output,PIN_F19,7,B7_N0,2.5 V,
led_r[0],Output,PIN_G19,7,B7_N2,2.5 V,
hex7_n[6],Output,PIN_AA14,3,B3_N0,3.3-V LVTTL,
hex7_n[5],Output,PIN_AG18,4,B4_N2,3.3-V LVTTL,
hex7_n[4],Output,PIN_AF17,4,B4_N2,3.3-V LVTTL,
hex7_n[3],Output,PIN_AH17,4,B4_N2,3.3-V LVTTL,
hex7_n[2],Output,PIN_AG17,4,B4_N2,3.3-V LVTTL,
hex7_n[1],Output,PIN_AE17,4,B4_N2,3.3-V LVTTL,
hex7_n[0],Output,PIN_AD17,4,B4_N2,3.3-V LVTTL,
hex6_n[6],Output,PIN_AC17,4,B4_N2,3.3-V LVTTL,
hex6_n[5],Output,PIN_AA15,4,B4_N2,3.3-V LVTTL,
hex6_n[4],Output,PIN_AB15,4,B4_N2,3.3-V LVTTL,
hex6_n[3],Output,PIN_AB17,4,B4_N1,3.3-V LVTTL,
hex6_n[2],Output,PIN_AA16,4,B4_N2,3.3-V LVTTL,
hex6_n[1],Output,PIN_AB16,4,B4_N2,3.3-V LVTTL,
hex6_n[0],Output,PIN_AA17,4,B4_N1,3.3-V LVTTL,
hex5_n[6],Output,PIN_AH18,4,B4_N2,3.3-V LVTTL,
hex5_n[5],Output,PIN_AF18,4,B4_N1,3.3-V LVTTL,
hex5_n[4],Output,PIN_AG19,4,B4_N2,3.3-V LVTTL,
hex5_n[3],Output,PIN_AH19,4,B4_N2,3.3-V LVTTL,
hex5_n[2],Output,PIN_AB18,4,B4_N0,3.3-V LVTTL,
hex5_n[1],Output,PIN_AC18,4,B4_N1,3.3-V LVTTL,
hex5_n[0],Output,PIN_AD18,4,B4_N1,3.3-V LVTTL,
hex4_n[6],Output,PIN_AE18,4,B4_N2,3.3-V LVTTL,
hex4_n[5],Output,PIN_AF19,4,B4_N1,3.3-V LVTTL,
hex4_n[4],Output,PIN_AE19,4,B4_N1,3.3-V LVTTL,
hex4_n[3],Output,PIN_AH21,4,B4_N2,3.3-V LVTTL,
hex4_n[2],Output,PIN_AG21,4,B4_N2,3.3-V LVTTL,
hex4_n[1],Output,PIN_AA19,4,B4_N0,3.3-V LVTTL,
hex4_n[0],Output,PIN_AB19,4,B4_N0,3.3-V LVTTL,
hex3_n[6],Output,PIN_Y19,4,B4_N0,3.3-V LVTTL,
hex3_n[5],Output,PIN_AF23,4,B4_N0,3.3-V LVTTL,
hex3_n[4],Output,PIN_AD24,4,B4_N0,3.3-V LVTTL,
hex3_n[3],Output,PIN_AA21,4,B4_N0,3.3-V LVTTL,
hex3_n[2],Output,PIN_AB20,4,B4_N0,3.3-V LVTTL,
hex3_n[1],Output,PIN_U21,5,B5_N0,2.5 V,
hex3_n[0],Output,PIN_V21,5,B5_N1,2.5 V,
hex2_n[6],Output,PIN_W28,5,B5_N1,2.5 V,
hex2_n[5],Output,PIN_W27,5,B5_N1,2.5 V,
hex2_n[4],Output,PIN_Y26,5,B5_N1,2.5 V,
hex2_n[3],Output,PIN_W26,5,B5_N1,2.5 V,
hex2_n[2],Output,PIN_Y25,5,B5_N1,2.5 V,
hex2_n[1],Output,PIN_AA26,5,B5_N1,2.5 V,
hex2_n[0],Output,PIN_AA25,5,B5_N1,2.5 V,
hex1_n[6],Output,PIN_U24,5,B5_N0,2.5 V,
hex1_n[5],Output,PIN_U23,5,B5_N1,2.5 V,
hex1_n[4],Output,PIN_W25,5,B5_N1,2.5 V,
hex1_n[3],Output,PIN_W22,5,B5_N0,2.5 V,
hex1_n[2],Output,PIN_W21,5,B5_N1,2.5 V,
hex1_n[1],Output,PIN_Y22,5,B5_N0,2.5 V,
hex1_n[0],Output,PIN_M24,6,B6_N2,2.5 V,
hex0_n[6],Output,PIN_H22,6,B6_N0,2.5 V,
hex0_n[5],Output,PIN_J22,6,B6_N0,2.5 V,
hex0_n[4],Output,PIN_L25,6,B6_N1,2.5 V,
hex0_n[3],Output,PIN_L26,6,B6_N1,2.5 V,
hex0_n[2],Output,PIN_E17,7,B7_N2,2.5 V,
hex0_n[1],Output,PIN_F22,7,B7_N0,2.5 V,
hex0_n[0],Output,PIN_G18,7,B7_N2,2.5 V,
